City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sur,OM,22.5667,59.5289,73.08,49,29,5.97,scattered clouds
80,Komsomolskiy,UZ,40.4272,71.7189,45.82,39,0,4.61,clear sky
81,Pasni,PK,25.2631,63.471,72.59,51,0,14.54,clear sky
82,Murupara,NZ,-38.4667,176.7,67.57,96,100,0.89,overcast clouds
83,Bambous Virieux,MU,-20.3428,57.7575,80.85,94,40,16.11,light rain
84,Nikki,BJ,9.9401,3.2108,92.16,9,4,6.87,clear sky
85,Sitka,US,57.0531,-135.33,44.49,81,100,13.8,light rain
86,Turukhansk,RU,65.8167,87.9833,12.09,94,100,13.06,light snow
87,Klaksvik,FO,62.2266,-6.589,36.52,68,99,45.16,overcast clouds
88,Acapulco,MX,16.8634,-99.8901,73.22,88,75,2.3,broken clouds
89,Axim,GH,4.8699,-2.2405,84.27,62,36,10.45,scattered clouds
90,Talaya,RU,61.3833,152.75,-37.37,100,92,1.63,overcast clouds
91,Morros,BR,-9.4467,-46.3003,86.18,50,98,6.2,overcast clouds
92,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,82,100,7.02,overcast clouds
93,Kodiak,US,57.79,-152.4072,35.11,75,0,3.44,clear sky
94,Kosino,RU,58.4127,51.2782,19.38,91,100,8.46,light snow
95,Champerico,GT,14.3,-91.9167,83.35,67,0,8.72,clear sky
96,Urucara,BR,-2.5364,-57.76,73.08,95,100,4.79,heavy intensity rain
97,Atuona,PF,-9.8,-139.0333,78.46,71,21,18.7,few clouds
98,Iracoubo,GF,5.4802,-53.2011,78.6,89,98,10.63,overcast clouds
99,Trincomalee,LK,8.5711,81.2335,79.32,67,8,8.72,clear sky
100,Tiksi,RU,71.6872,128.8694,-16.8,100,100,5.06,overcast clouds
101,Karratha,AU,-20.7377,116.8463,85.12,70,81,9.89,broken clouds
102,Geraldton,AU,-28.7667,114.6,81.01,34,0,8.05,clear sky
103,Decatur,US,39.8403,-88.9548,11.98,92,75,9.22,broken clouds
104,Olinda,BR,-8.0089,-34.8553,85.73,62,40,10.36,scattered clouds
105,Tiznit,MA,29.5833,-9.5,75.16,19,76,3.78,broken clouds
106,Usinsk,RU,65.9939,57.5281,8.19,96,99,7.87,overcast clouds
107,Kalakamati,BW,-20.5929,27.3121,83.19,43,43,11.27,scattered clouds
108,Thompson,CA,55.7435,-97.8558,-32.64,75,0,4.61,clear sky
109,Victoria,HK,22.2855,114.1577,58.32,72,8,4.0,clear sky
110,Pevek,RU,69.7008,170.3133,-22.4,100,96,3.2,overcast clouds
111,Qaanaaq,GL,77.484,-69.3632,-7.35,58,100,8.79,overcast clouds
112,Lufilufi,WS,-13.8745,-171.5986,76.78,76,100,17.05,light rain
113,Mandalgovi,MN,45.7625,106.2708,5.58,74,100,7.65,overcast clouds
114,Zhuanghe,CN,39.7008,122.9911,16.2,54,0,8.81,clear sky
115,Esperance,AU,-33.8667,121.9,71.44,68,0,17.36,clear sky
116,Castro,BR,-24.7911,-50.0119,66.11,97,100,7.83,overcast clouds
117,Okha,RU,53.5739,142.9478,2.98,94,100,20.27,overcast clouds
118,Hermanus,ZA,-34.4187,19.2345,77.9,51,5,23.89,clear sky
119,Severo-Kurilsk,RU,50.6789,156.125,28.51,88,100,3.8,overcast clouds
120,Lasa,IT,46.6166,10.7002,47.28,75,3,2.08,clear sky
121,Pangnirtung,CA,66.1451,-65.7125,-14.8,70,75,19.57,broken clouds
122,Carballo,ES,43.213,-8.691,58.55,72,100,3.33,overcast clouds
123,Cherskiy,RU,68.75,161.3,-34.29,99,6,3.18,clear sky
124,Sibu,MY,2.3,111.8167,79.11,88,40,1.01,scattered clouds
125,Hobart,AU,-42.8794,147.3294,60.26,78,100,8.05,overcast clouds
126,Bairiki,KI,1.3292,172.9752,80.6,83,20,13.8,few clouds
127,Kruisfontein,ZA,-34.0033,24.7314,71.89,57,100,9.35,overcast clouds
128,Sioux Lookout,CA,50.1001,-91.917,-18.02,76,20,0.0,few clouds
129,Uige,AO,-7.6087,15.0613,78.82,65,75,6.91,broken clouds
130,Hamilton,US,39.1834,-84.5333,21.11,90,100,3.0,mist
131,Flinders,AU,-34.5833,150.8552,69.21,72,67,7.0,broken clouds
132,Birin,NP,26.8865,88.0718,41.0,93,100,3.38,overcast clouds
133,Albany,US,42.6001,-73.9662,23.99,87,100,3.0,snow
134,Nyurba,RU,63.2842,118.3319,-25.22,99,52,2.64,broken clouds
135,Leningradskiy,RU,69.3833,178.4167,-17.55,88,3,4.88,clear sky
136,Kaduqli,SD,11.0167,29.7167,88.68,11,44,17.38,scattered clouds
137,Constitucion,CL,-35.3333,-72.4167,67.51,67,9,3.96,clear sky
138,San Cristobal,VE,7.7669,-72.225,68.18,61,34,0.83,scattered clouds
139,Broome,US,42.2506,-75.833,24.17,83,100,1.01,mist
140,Rincon,US,32.296,-81.2354,67.21,93,40,8.05,scattered clouds
141,Luderitz,NA,-26.6481,15.1594,75.74,60,6,16.02,clear sky
142,Langarud,IR,37.197,50.1535,57.25,69,38,2.75,scattered clouds
